"longitude","latitude","ind_land","trendMax"
0,-90,1,2.47769338173651
1.25,-90,1,2.56940178079134
2.5,-90,1,2.58723507766211
3.75,-90,1,2.59529850808308
5,-90,1,2.50113463993904
6.25,-90,1,2.43031346844109
7.5,-90,1,2.76660035264388
8.75,-90,1,2.35323721902405
10,-90,1,2.56973556897502
11.25,-90,1,2.36440771993347
12.5,-90,1,2.56884675928764
13.75,-90,1,2.51147833628809
15,-90,1,2.44984889035886
16.25,-90,1,2.49000457186537
17.5,-90,1,2.38546846450172
18.75,-90,1,2.60494648500349
20,-90,1,2.51157821895151
21.25,-90,1,2.55235327379282
22.5,-90,1,2.76359585918252
23.75,-90,1,2.55606904445951
25,-90,1,2.52121934697361
26.25,-90,1,2.67366217654289
27.5,-90,1,2.5997803645242
28.75,-90,1,2.60432167079295
30,-90,1,2.38275612696171
31.25,-90,1,2.5725292415276
32.5,-90,1,2.53174387857289
33.75,-90,1,2.30102375662389
35,-90,1,2.4840345054586
36.25,-90,1,2.51172773005292
37.5,-90,1,2.55218697072259
38.75,-90,1,2.54992144557057
40,-90,1,2.61234044431144
41.25,-90,1,2.52670640960651
42.5,-90,1,2.50963452248561
43.75,-90,1,2.51538761440513
45,-90,1,2.60813624637755
46.25,-90,1,2.47035838553249
47.5,-90,1,2.4597750125102
48.75,-90,1,2.57908808720567
50,-90,1,2.60602002373109
51.25,-90,1,2.62123618970082
52.5,-90,1,2.5079807743012
53.75,-90,1,2.54983084542417
55,-90,1,2.43326991531673
56.25,-90,1,2.42797649919807
57.5,-90,1,2.71377570429755
58.75,-90,1,2.56584082303805
60,-90,1,2.42411038304644
61.25,-90,1,2.5440040148588
62.5,-90,1,2.50096020162933
63.75,-90,1,2.3384721242749
65,-90,1,2.51220779610145
66.25,-90,1,2.58514028824287
67.5,-90,1,2.25425037063309
68.75,-90,1,2.61324632409542
70,-90,1,2.57426599349146
71.25,-90,1,2.63443625904917
72.5,-90,1,2.58656327722837
73.75,-90,1,2.57323260947226
75,-90,1,2.41034089907835
76.25,-90,1,2.57571476145185
77.5,-90,1,2.50475120587876
78.75,-90,1,2.33398560919231
80,-90,1,2.51300030402142
81.25,-90,1,2.54828753137833
82.5,-90,1,2.45696413079702
83.75,-90,1,2.40204158147603
85,-90,1,2.3915786030462
86.25,-90,1,2.73070727591909
87.5,-90,1,2.55098730101618
88.75,-90,1,2.41488359598611
90,-90,1,2.50484439609099
91.25,-90,1,2.54674310482125
92.5,-90,1,2.37965211587967
93.75,-90,1,2.50537518570591
95,-90,1,2.42692326380359
96.25,-90,1,2.40584202468949
97.5,-90,1,2.5868418570341
98.75,-90,1,2.54959947782052
100,-90,1,2.61400945476139
101.25,-90,1,2.50810431521483
102.5,-90,1,2.58940878585848
103.75,-90,1,2.57939022096357
105,-90,1,2.50940831763004
106.25,-90,1,2.53600818688786
107.5,-90,1,2.51179590614167
108.75,-90,1,2.52415735049632
110,-90,1,2.59825424225621
111.25,-90,1,2.52989453697944
112.5,-90,1,2.54743818107939
113.75,-90,1,2.55829107736947
115,-90,1,2.45577970597315
116.25,-90,1,2.38652090027856
117.5,-90,1,2.49030747047498
118.75,-90,1,2.54460969039688
120,-90,1,2.54476733673782
121.25,-90,1,2.57326960047602
122.5,-90,1,2.60503936232168
123.75,-90,1,2.60703399094993
125,-90,1,2.5683158479917
126.25,-90,1,2.51199530642554
127.5,-90,1,2.54768830492977
128.75,-90,1,2.52293537841301
130,-90,1,2.40812964362248
131.25,-90,1,2.59316909174672
132.5,-90,1,2.45126393531762
133.75,-90,1,2.34401420407264
135,-90,1,2.51395513430684
136.25,-90,1,2.38672511565109
137.5,-90,1,2.40347778153407
138.75,-90,1,2.54901240208231
140,-90,1,2.585011567198
141.25,-90,1,2.60262629034619
142.5,-90,1,2.42210103102544
143.75,-90,1,2.513068758238
145,-90,1,2.54620025141077
146.25,-90,1,2.55055863647046
147.5,-90,1,2.61957668774649
148.75,-90,1,2.54637055256883
150,-90,1,2.58594897972704
151.25,-90,1,2.55953234457215
152.5,-90,1,2.60455121318254
153.75,-90,1,2.54434903245431
155,-90,1,2.55067631931606
156.25,-90,1,2.4560672901682
157.5,-90,1,2.56499129890934
158.75,-90,1,2.52947110471377
