"longitude","latitude","ind_land","rv20","region"
0,-90,1,240.588978282581,1
1.25,-90,1,241.140246031686,3
2.5,-90,1,241.169286868429,3
3.75,-90,1,241.190939803512,3
5,-90,1,240.670186886817,3
6.25,-90,1,240.663858152967,3
7.5,-90,1,240.486932582161,3
8.75,-90,1,240.661698485172,3
10,-90,1,240.60644081764,3
11.25,-90,1,240.48541871794,3
12.5,-90,1,241.147825162966,3
13.75,-90,1,240.989528476888,3
15,-90,1,240.554819347464,3
16.25,-90,1,240.564919868783,3
17.5,-90,1,240.526446013988,3
18.75,-90,1,241.211599831478,3
20,-90,1,240.97368961293,3
21.25,-90,1,241.295049653892,3
22.5,-90,1,240.588158252854,3
23.75,-90,1,241.11859204305,3
25,-90,1,240.682524120154,3
26.25,-90,1,240.586796704232,3
27.5,-90,1,241.192244408063,3
28.75,-90,1,241.220734020625,3
30,-90,1,240.588913360909,3
31.25,-90,1,241.146390198106,3
32.5,-90,1,240.604214565909,3
33.75,-90,1,240.566120465836,3
35,-90,1,240.601246166214,3
36.25,-90,1,240.543742019935,3
37.5,-90,1,241.28912911359,3
38.75,-90,1,241.109814128047,3
40,-90,1,240.501388994569,3
41.25,-90,1,240.588281306174,3
42.5,-90,1,240.973766751092,3
43.75,-90,1,241.034220047185,3
45,-90,1,241.261536448749,3
46.25,-90,1,240.664114182196,3
47.5,-90,1,240.64817161917,3
48.75,-90,1,241.15631097686,3
50,-90,1,241.204773032299,3
51.25,-90,1,241.268147151494,3
52.5,-90,1,240.566162188537,3
53.75,-90,1,241.104045175237,3
55,-90,1,240.582467275096,3
56.25,-90,1,240.569762914774,3
57.5,-90,1,240.521677558193,3
58.75,-90,1,241.268936804551,3
60,-90,1,240.610558881378,3
61.25,-90,1,241.101156461774,3
62.5,-90,1,240.611438853105,3
63.75,-90,1,240.525312971966,3
65,-90,1,241.008913192072,3
66.25,-90,1,241.162767669732,3
67.5,-90,1,240.529334664471,3
68.75,-90,1,241.229901013472,3
70,-90,1,241.153121423683,3
71.25,-90,1,240.593727660489,3
72.5,-90,1,241.168240989795,3
73.75,-90,1,241.152998666894,3
75,-90,1,240.543147210889,3
76.25,-90,1,241.152815708002,3
77.5,-90,1,240.595443882386,3
78.75,-90,1,240.528974387121,3
80,-90,1,240.9754759989,3
81.25,-90,1,241.104404939544,3
82.5,-90,1,240.522119673014,3
83.75,-90,1,240.588575016149,3
85,-90,1,240.62011841337,3
86.25,-90,1,240.561916664743,3
87.5,-90,1,241.114619097053,3
88.75,-90,1,240.599205846257,3
90,-90,1,240.53045977855,3
91.25,-90,1,241.101781342389,3
92.5,-90,1,240.58321630553,3
93.75,-90,1,240.953663817425,3
95,-90,1,240.601060156985,3
96.25,-90,1,240.55510030979,3
97.5,-90,1,241.168953759093,3
98.75,-90,1,241.112484195452,3
100,-90,1,241.224770360694,3
101.25,-90,1,240.954593942663,3
102.5,-90,1,241.171318836279,3
