"longitude","latitude","elevation","logElev","Xelevation","XlogElev","lcc_x","lcc_y"
-80.875,25.375,0.1,4.60616968632117,0.1,2.31253542384721,-93.0954982454029,-30.3678772477725
-80.625,25.375,0.3,4.60816569496789,0.3,2.33214389523559,-92.8422490956047,-30.3260024104531
-80.375,25.375,0.7,4.61214579972452,0.7,2.37024374146786,-92.589116100693,-30.283431049645
-81.125,25.625,0.3,4.60816569496789,0.3,2.33214389523559,-93.3940289561784,-30.1287112608899
-80.875,25.625,0.7,4.61214579972452,0.7,2.37024374146786,-93.1414366162779,-30.0876585789175
-80.625,25.625,1.2,4.61709875685337,1.2,2.41591377830105,-92.8889581670502,-30.0459111772126
-80.375,25.625,4,4.64439089914137,4,2.63905732961526,-92.6365955192205,-30.0034693717143
-81.375,25.875,0.1,4.60616968632117,0.1,2.31253542384721,-93.6910866891174,-29.8888703429047
-81.125,25.875,1.9,4.62399194022868,1.9,2.47653840011748,-93.4391530214064,-29.8486357667088
-80.875,25.875,1.9,4.62399194022868,1.9,2.47653840011748,-93.1873309912877,-29.807708279675
-80.625,25.875,1.8,4.62301010411642,1.8,2.46809953147162,-92.935622504519,-29.7660881915376
-80.375,25.875,1,4.61512051684126,1,2.39789527279837,-92.6840294659985,-29.723775817272
-98.125,26.125,25,4.8283137373023,25,3.55534806148941,-110.716759695078,-30.7114239913629
-97.875,26.125,16.7,4.75960653929251,16.7,3.2846635654062,-110.462498779216,-30.7180234941054
-97.625,26.125,9.8,4.69866052907543,9.8,2.98568193770049,-110.208220670398,-30.7239235065927
-97.375,26.125,4.4,4.64822967544854,4.4,2.66722820658195,-109.953927292969,-30.7291239841742
-81.625,26.125,2.7,4.63181211693451,2.7,2.54160199346455,-93.9866715172338,-29.6483558734552
-81.375,26.125,3.3,4.63763737612559,3.3,2.58776403522771,-93.7353983802086,-29.6089353536608
-81.125,26.125,3.4,4.63860496207433,3.4,2.59525470695687,-93.4842346388279,-29.5688237370513
-80.875,26.125,2.6,4.63083793273667,2.6,2.53369681395743,-93.2331821938676,-29.5280213271865
-80.625,26.125,2,4.62497281328427,2,2.484906649788,-92.982242945261,-29.4865284328537
-80.375,26.125,2.3,4.62790967295758,2.3,2.50959926237837,-92.731418792085,-29.4443453680661
-80.125,26.125,3.6,4.64053732982538,3.6,2.61006979274201,-92.4807116325453,-29.4014724520598
-98.875,26.375,51.9,5.02322240960173,51.9,4.12552017969055,-111.469347886731,-30.4044496414428
-98.625,26.375,85.6,5.2235938203521,85.6,4.56017282005736,-111.215928601716,-30.4131206566435
-98.375,26.375,72.2,5.14865659199363,72.2,4.40915530206213,-110.962486421882,-30.4210944890554
-98.125,26.375,25.5,4.83230575857184,25.5,3.56953269648137,-110.709023265249,-30.4283710783336
-97.875,26.375,13,4.72738781871234,13,3.13549421592915,-110.455541049993,-30.4349503694098
-97.625,26.375,6.2,4.66532410880784,6.2,2.78501124223834,-110.202041694436,-30.4408323124927
-81.625,26.375,5.1,4.65491227788291,5.1,2.71469474382088,-94.0301727294772,-29.3685587175471
-81.375,26.375,6.8,4.67095792652609,6.8,2.82137888640921,-93.7796691426731,-29.3292589272111
-81.125,26.375,7.1,4.6737629774537,7.1,2.83907846350861,-93.5292746164781,-29.2892701566161
-80.875,26.375,3.3,4.63763737612559,3.3,2.58776403522771,-93.2789910458464,-29.2485927083922
-80.625,26.375,3.1,4.63569939102291,3.1,2.57261223020711,-93.0288203248928,-29.2072268903812
-80.375,26.375,2.5,4.62986279857846,2.5,2.52572864430826,-92.7787643468781,-29.1651730156345
-80.125,26.375,4.3,4.64727136200673,4.3,2.66025953726586,-92.5288250041944,-29.1224314024104
-99.125,26.625,122.3,5.40402782097015,122.3,4.88507207112091,-111.711901608379,-30.1123873850707
-98.875,26.625,108,5.33753807970132,108,4.77068462446567,-111.459284861361,-30.1217267645076
-98.625,26.625,149.5,5.51945891519157,149.5,5.0720439222249,-111.206643377835,-30.1303711663883
-98.375,26.625,76,5.17048399503815,76,4.45434729625351,-110.953979069759,-30.1383205252929
-98.125,26.625,23.5,4.81624115606803,23.5,3.51154543883102,-110.701293849266,-30.1455747810618
-97.875,26.625,11,4.70953020131233,11,3.04452243772342,-110.448589628646,-30.1521338787955
-97.625,26.625,7.2,4.6746962486367,7.2,2.84490938381941,-110.195868320333,-30.1579977688558
-81.875,26.625,4.5,4.64918707140487,4.5,2.67414864942653,-94.3234760736966,-29.1275072339336
-81.625,26.625,6.6,4.66908351173174,6.6,2.8094026953625,-94.0736345035236,-29.0890152257273
-81.375,26.625,8.7,4.68859179412716,8.7,2.92852352386054,-93.8238997692665,-29.0498360553962
