,Longitude,Latitude,Elevation,Zelevation,Precip,logPrecip,Slope5,Zslope5,Slope10,Zslope10,Slope15,Zslope15,holdout_ind.1,holdout_ind.2,holdout_ind.3,holdout_ind.4,holdout_ind.5,holdout_ind.6,holdout_ind.7,holdout_ind.8,holdout_ind.9,holdout_ind.10,holdout_ind.11,holdout_ind.12,holdout_ind.13,holdout_ind.14,holdout_ind.15,holdout_ind.16,holdout_ind.17,holdout_ind.18,holdout_ind.19,holdout_ind.20
16839,-104.7,38.82,1883,-0.447885244,430.9999612,6.066108,-384.048,-0.735574026,-1285.0368,-1.973038339,-754.9896,-0.944566542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24158,-102.23,40.07,1093,-1.593420166,572.0000049,6.349139,-145.0848,-0.301897882,-231.0384,-0.331878137,-327.0504,-0.388310187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9983,-108.03,37.68,2758,0.820903436,788.9997469,6.670766,338.9376,1.067752253,1210.056,2.380386009,1288.0848,2.08978467,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
25040,-105.83,40.27,2689,0.720850386,447.9998959,6.104793,794.004,2.278427466,-435.2544,-0.757846187,-690.9816,-1.01069542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13232,-103.75,38.22,1313,-1.274410441,171.999918,5.147494,-118.872,-0.282646346,-110.0328,-0.116018009,-136.8552,-0.088525325,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24804,-105.569,40.207,2606.5,0.601221739,587.0001058,6.375025,-970.1784,-2.840596037,-1175.9184,-2.397837582,-1125.0168,-1.838876727,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10959,-107.727,37.847,3041.6,1.232135972,895.0002521,6.796824,392.8872,1.055702787,70.104,0.303191228,1024.128,1.778370853,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1
14378,-106.43,38.4,2728,0.77740211,476.0000694,6.165418,1135.0752,2.636864231,458.1144,1.145067785,-442.8744,-0.622831473,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
19979,-104.97,39.38,1874,-0.460935642,478.0001279,6.169611,-91.1352,-0.100973233,-455.9808,-0.599898618,-1637.9952,-2.238712979,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
25287,-105.645,40.311,2863,0.973158077,797.000256,6.680855,-128.016,-0.28172518,-1132.9416,-2.149992071,-1452.9816,-2.222230238,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
